"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"Blind",89,"3.5","2.7 - 4.4",59,"3.8","2.6 - 5.1",148,"3.6","2.9 - 4.4"
"Severe",32,"1.3","0.8 - 1.7",25,"1.6","0.9 - 2.3",57,"1.4","1.0 - 1.8"
"Moderate",152,"6.0","4.9 - 7.2",128,"8.3","6.6 - 9.9",280,"6.9","5.8 - 7.9"
"Mild",201,"8.0","6.8 - 9.1",124,"8.0","6.7 - 9.4",325,"8.0","7.1 - 8.9"
