"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"PinVA <3/60",40,"1.6","1.0 -  2.1",26,"1.7","0.9 -  2.5",66,"1.6","1.2 -  2.1"
"PinVA <6/60",59,"2.3","1.7 -  3.0",38,"2.5","1.6 -  3.3",97,"2.4","1.9 -  2.9"
"PinVA <6/18",126,"5.0","4.0 -  6.0",98,"6.3","5.0 -  7.7",224,"5.5","4.6 -  6.4"
"PinVA <6/12",179,"7.1","5.8 -  8.4",120,"7.8","6.2 -  9.4",299,"7.4","6.3 -  8.4"
"PinVA <3/60",162,"6.4","5.4 -  7.4",118,"7.6","6.2 -  9.1",280,"6.9","6.0 -  7.8"
"PinVA <6/60",187,"7.4","6.4 -  8.5",138,"8.9","7.4 - 10.5",325,"8.0","7.0 -  9.0"
"PinVA <6/18",229,"9.1","8.0 - 10.2",141,"9.1","7.7 - 10.6",370,"9.1","8.1 - 10.1"
"PinVA <6/12",232,"9.2","8.1 - 10.3",143,"9.3","7.9 - 10.6",375,"9.2","8.3 - 10.1"
