"Exam.Status","female.n","female.pct","male.n","male.pct","total.n","total.pct"
"Examined*","2520",94.1,"1545",91,"4065",92.9
"Refused","   5",0.2,"   2",0.1,"   7",0.2
"Incapable","  32",1.2,"  50",2.9,"  82",1.9
"Unavailable"," 120",4.5," 101",5.9," 221",5.1
"Total","2677",100,"1698",100,"4375",100
