"rec_metric","female.adj.pct","female.adj.pct.ci","male.adj.pct","male.adj.pct.ci","total.adj.pct","total.adj.pct.ci","quality_gap"
"Distance eREC","NaN","NaN - NaN","100.0","100.0 - 100.0","100.0","100.0 - 100.0",""
"Distance REC","NaN","NaN - NaN","100.0","100.0 - 100.0","100.0","100.0 - 100.0","0.0"
