"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind in one eye only","5.2","4.4 - 6.1","3344","4.7","3.6 - 5.8","1963","5.0","4.3 - 5.8","5307"
"Severe in one eye only","1.1","0.7 - 1.6"," 712","0.8","0.4 - 1.2"," 329","1.0","0.7 - 1.3","1041"
"Moderate in one eye only","3.0","2.3 - 3.6","1891","2.5","1.7 - 3.4","1058","2.8","2.3 - 3.3","2949"
"Mild in one eye only","6.7","5.7 - 7.7","4262","6.1","4.9 - 7.3","2567","6.5","5.6 - 7.3","6829"
