"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"PinVA <3/60"," 2.0","1.4 -  2.6","1270"," 2.5","1.7 -  3.3","1054"," 1.9","1.5 -  2.4","2027"
"PinVA <6/60"," 3.0","2.3 -  3.6","1884"," 3.4","2.5 -  4.3","1434"," 2.8","2.3 -  3.4","2990"
"PinVA <6/18"," 6.2","5.2 -  7.2","3963"," 7.7","6.3 -  9.1","3217"," 6.4","5.5 -  7.3","6792"
"PinVA <6/12"," 8.8","7.5 - 10.1","5594","10.1","8.4 - 11.8","4223"," 8.6","7.5 -  9.7","9049"
"PinVA <3/60"," 7.4","6.4 -  8.5","4737"," 8.0","6.5 -  9.4","3333"," 7.6","6.8 -  8.5"," 8070"
"PinVA <6/60"," 8.5","7.4 -  9.6","5441"," 9.3","7.7 - 10.8","3886"," 8.8","7.9 -  9.8"," 9327"
"PinVA <6/18","10.5","9.3 - 11.6","6682"," 9.3","7.8 - 10.8","3893","10.0","9.0 - 11.0","10575"
"PinVA <6/12","10.5","9.4 - 11.7","6720"," 9.4","8.1 - 10.7","3934","10.1","9.2 - 11.0","10654"
