"age.groups.tens","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"50-59",0,"0.0","0.0 - 0.0",0,"0.0","0.0 - 0.0",0,"0.0","0.0 - 0.0"
"60-69",0,"0.0","0.0 - 0.0",1,"0.2","0.0 - 0.5",1,"0.1","0.0 - 0.2"
"70-79",0,"0.0","0.0 - 0.0",0,"0.0","0.0 - 0.0",0,"0.0","0.0 - 0.0"
"80+",0,"0.0","0.0 - 0.0",2,"1.2","0.0 - 3.7",2,"0.5","0.0 - 1.4"
"Total",0,"0.0","0.0 - 0.0",3,"0.2","0.0 - 0.6",3,"0.1","0.0 - 0.2"
