"age.groups.tens","female.examined.n","female.examined.pct","male.examined.n","male.examined.pct","total.examined.n","total.examined.pct"
"50-59","1046",41.5," 556",36,"1602",39.4
"60-69"," 820",32.5," 580",37.5,"1400",34.4
"70-79"," 395",15.7," 247",16," 642",15.8
"80+"," 259",10.3," 162",10.5," 421",10.4
"Total","2520",100,"1545",100,"4065",100
