"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"PinVA <3/60",46,"1.8","1.2 - 2.4",36,"2.3","1.4 -  3.2",82,"2.0","1.5 - 2.5"
"PinVA <6/60",67,"2.7","1.9 - 3.4",49,"3.2","2.2 -  4.2",116,"2.9","2.3 - 3.4"
"PinVA <6/18",142,"5.6","4.6 - 6.7",111,"7.2","5.7 -  8.7",253,"6.2","5.3 - 7.2"
"PinVA <6/12",210,"8.3","6.9 - 9.7",146,"9.4","7.6 - 11.3",356,"8.8","7.6 - 9.9"
