"oc.levels","female.n.eyes","female.pct.eyes","male.n.eyes","male.pct.eyes","total.n.eyes","total.pct.eyes"
"Good (6/12)",51," 42.9",40," 61.5",91," 49.5"
"Borderline (<6/12 to 6/60)",35," 29.4",15," 23.1",50," 27.2"
"Poor (<6/60)",33," 27.7",10," 15.4",43," 23.4"
"Total",119,"100.0",65,"100.0",184,"100.1"
