"oc.levels","female.n.eyes","female.pct.eyes","male.n.eyes","male.pct.eyes","total.n.eyes","total.pct.eyes"
"Good (6/12)",40," 33.6",37," 56.9",77,"41.8"
"Borderline (<6/12 to 6/60)",43," 36.1",17," 26.2",60,"32.6"
"Poor (<6/60)",36," 30.3",11," 16.9",47,"25.5"
"Total",119,"100.0",65,"100.0",184,"99.9"
