"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind","0.0","0.0 - 0.0","    0","0.0","0.0 - 0.0","    0","0.0","0.0 - 0.0","    0"
"Severe","0.0","0.0 - 0.0","    0","0.0","0.0 - 0.0","    0","0.0","0.0 - 0.0","    0"
"Moderate","0.1","0.0 - 0.2","  123","0.2","0.0 - 0.3","  234","0.1","0.0 - 0.2","  357"
"Mild","1.5","0.9 - 2.1","2 252","1.2","0.6 - 1.7","1 768","1.4","0.9 - 1.8","4 020"
