"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"Blind",76," 3.4"," 2.6 -  4.2",46," 2.5"," 1.8 -  3.2",122," 3.0"," 2.4 -  3.5"
"Severe or worse",116," 5.2"," 4.1 -  6.3",62," 3.4"," 2.6 -  4.2",178," 4.4"," 3.7 -  5.1"
"Moderate or worse",195," 8.7"," 7.3 - 10.1",118," 6.4"," 5.2 -  7.6",313," 7.7"," 6.7 -  8.7"
"Mild or worse",331,"14.8","13.1 - 16.5",248,"13.5","11.9 - 15.1",579,"14.2","13.0 - 15.4"
