"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind in one eye only","4.3","3.4 - 5.3","6 315","6.7","5.8 - 7.7","10 148","5.6","4.8 - 6.3","16 463"
"Severe in one eye only","1.7","1.1 - 2.3","2 506","1.5","0.9 - 2.1"," 2 240","1.6","1.2 - 2.0"," 4 746"
"Moderate in one eye only","2.7","2.1 - 3.3","3 970","2.6","1.9 - 3.4"," 3 921","2.7","2.2 - 3.2"," 7 891"
"Mild in one eye only","6.0","5.0 - 7.0","8 744","4.6","3.5 - 5.7"," 6 874","5.3","4.5 - 6.1","15 618"
