"age.groups.tens","female.examined.n","female.examined.pct","male.examined.n","male.examined.pct","total.examined.n","total.examined.pct"
"50-59","1 251",55.9,"  848",46.1,"2 099",51.5
"60-69","  585",26.1,"  566",30.8,"1 151",28.2
"70-79","  318",14.2,"  310",16.9,"  628",15.4
"80+","   85",3.8,"  115",6.3,"  200",4.9
"Total","2 239",100,"1 839",100,"4 078",100
