"rec_metric","female.adj.pct","female.adj.pct.ci","male.adj.pct","male.adj.pct.ci","total.adj.pct","total.adj.pct.ci"
"eREC","9.4","1.3 - 17.4","0.0","0.0 - 0.0","5.2","0.3 - 10.0"
"REC","9.4","1.3 - 17.4","0.0","0.0 - 0.0","5.2","0.3 - 10.0"
