"oc.levels","female.n.eyes","female.pct.eyes","male.n.eyes","male.pct.eyes","total.n.eyes","total.pct.eyes"
"Good (6/12)",44," 45.8",43," 47.3",87," 46.5"
"Borderline (<6/12 to 6/60)",33," 34.4",22," 24.2",55," 29.4"
"Poor (<6/60)",19," 19.8",26," 28.6",45," 24.1"
"Total",96,"100.0",91,"100.1",187,"100.0"
