"Exam.Status","female.n","female.pct","male.n","male.pct","total.n","total.pct"
"Examined*","2 067",95.4,"1 800",93.4,"3 867",94.4
"Refused","   18",0.8,"    7",0.4,"   25",0.6
"Incapable","   28",1.3,"   21",1.1,"   49",1.2
"Unavailable","   54",2.5,"  100",5.2,"  154",3.8
"Total","2 167",100,"1 928",100,"4 095",100
