"oc.levels","female.n.eyes","female.pct.eyes","male.n.eyes","male.pct.eyes","total.n.eyes","total.pct.eyes"
"Good (6/12)",505," 77.8",360," 77.4",865," 77.6"
"Borderline (<6/12 to 6/60)",109," 16.8",71," 15.3",180," 16.2"
"Poor (<6/60)",35,"  5.4",34,"  7.3",69,"  6.2"
"Total",649,"100.0",465,"100.0",1114,"100.0"
