"rec_metric","female.adj.pct","female.adj.pct.ci","male.adj.pct","male.adj.pct.ci","total.adj.pct","total.adj.pct.ci"
"eREC","7.1","4.0 - 10.3","16.2","11.7 - 20.6","11.2"," 8.5 - 13.9"
"REC","9.5","5.8 - 13.3","19.5","14.6 - 24.4","14.0","10.9 - 17.1"
