"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind"," 2.8"," 2.1 -  3.4","  9 456"," 1.6"," 1.0 -  2.1"," 4 993"," 2.2"," 1.7 -  2.7"," 14 448"
"Severe or worse"," 6.4"," 5.4 -  7.4"," 21 929"," 5.1"," 4.0 -  6.1","16 150"," 5.8"," 5.0 -  6.5"," 38 079"
"Moderate or worse","23.7","21.8 - 25.6"," 81 347","21.5","19.5 - 23.4","68 207","22.6","21.1 - 24.1","149 554"
"Mild or worse","34.0","31.8 - 36.1","116 513","29.1","26.9 - 31.3","92 416","31.6","29.9 - 33.3","208 930"
