"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"Blind",43," 2.1"," 1.4 -  2.7",25," 1.4"," 0.8 -  2.0",68," 1.8"," 1.3 -  2.2"
"Severe",67," 3.2"," 2.5 -  4.0",60," 3.3"," 2.5 -  4.2",127," 3.3"," 2.7 -  3.9"
"Moderate",325,"15.7","14.1 - 17.4",287,"15.9","14.2 - 17.7",612,"15.8","14.5 - 17.1"
"Mild",204," 9.9"," 8.4 - 11.3",137," 7.6"," 6.3 -  8.9",341," 8.8"," 7.8 -  9.8"
