"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind in one eye only","5.0","4.2 - 5.9","17 251","4.6","3.7 - 5.5","14 542","4.8","4.1 - 5.5","31 793"
"Severe in one eye only","2.9","2.2 - 3.7","10 047","2.7","2.0 - 3.5"," 8 701","2.8","2.3 - 3.4","18 748"
"Moderate in one eye only","6.6","5.7 - 7.6","22 755","6.5","5.3 - 7.7","20 676","6.6","5.9 - 7.3","43 431"
"Mild in one eye only","8.3","6.9 - 9.8","28 592","6.3","5.2 - 7.4","20 044","7.4","6.4 - 8.3","48 636"
