"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"PinVA <3/60",21," 1.0"," 0.5 -  1.5",13," 0.7"," 0.4 -  1.1",34," 0.9"," 0.6 -  1.2"
"PinVA <6/60",49," 2.4"," 1.7 -  3.0",28," 1.6"," 1.0 -  2.1",77," 2.0"," 1.5 -  2.5"
"PinVA <6/18",151," 7.3"," 6.1 -  8.5",130," 7.2"," 6.0 -  8.4",281," 7.3"," 6.3 -  8.2"
"PinVA <6/12",265,"12.8","11.3 - 14.4",237,"13.2","11.6 - 14.7",502,"13.0","11.7 - 14.2"
