"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"Blind",0,"0.0","0.0 - 0.0",0,"0.0","0.0 - 0.0",0,"0.0","0.0 - 0.0"
"Severe",3,"0.1","0.0 - 0.3",3,"0.2","0.0 - 0.4",6,"0.2","0.0 - 0.3"
"Moderate",119,"5.8","4.7 - 6.8",95,"5.3","4.2 - 6.3",214,"5.5","4.7 - 6.4"
"Mild",166,"8.0","6.7 - 9.4",104,"5.8","4.6 - 7.0",270,"7.0","6.0 - 8.0"
