"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind","0.0","0.0 - 0.0","     0","0.0","0.0 - 0.0","     0","0.0","0.0 - 0.0","     0"
"Severe","0.2","0.0 - 0.3","   565","0.2","0.0 - 0.3","   513","0.2","0.0 - 0.3"," 1 078"
"Moderate","5.9","4.8 - 6.9","20 098","5.3","4.2 - 6.3","16 807","5.6","4.8 - 6.4","36 905"
"Mild","8.1","6.8 - 9.5","27 962","5.6","4.4 - 6.8","17 901","6.9","6.0 - 7.9","45 863"
