"oc.levels","female.n.eyes","female.pct.eyes","male.n.eyes","male.pct.eyes","total.n.eyes","total.pct.eyes"
"Good (6/12)",377," 58.1",292," 62.8",669," 60.1"
"Borderline (<6/12 to 6/60)",217," 33.4",127," 27.3",344," 30.9"
"Poor (<6/60)",55,"  8.5",46,"  9.9",101,"  9.1"
"Total",649,"100.0",465,"100.0",1114,"100.1"
