"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind"," 2.8"," 2.1 -  3.4"," 9 456"," 1.6"," 1.0 -  2.1"," 4 993"," 2.2"," 1.7 -  2.7"," 14 448"
"Severe"," 3.6"," 2.9 -  4.4","12 473"," 3.5"," 2.6 -  4.4","11 158"," 3.6"," 3.0 -  4.2"," 23 631"
"Moderate","17.3","15.6 - 19.0","59 418","16.4","14.6 - 18.1","52 057","16.9","15.5 - 18.2","111 475"
"Mild","10.2"," 8.8 - 11.7","35 166"," 7.6"," 6.3 -  8.9","24 209"," 9.0"," 8.0 - 10.0"," 59 375"
