"age.groups.tens","female.n","female.pct","male.n","male.pct","total.n","total.pct"
"50-59","162 100",47.2,"155 784",49,"317 884",48.1
"60-69","101 049",29.4," 92 629",29.1,"193 678",29.3
"70-79"," 61 050",17.8," 52 630",16.6,"113 680",17.2
"80+"," 18 947",5.5," 16 842",5.3," 35 789",5.4
"Total","343 146",100,"317 885",100,"661 031",100
