"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"PinVA <3/60"," 1.4"," 1.0 -  1.9"," 4 941"," 0.9"," 0.5 -  1.3"," 2 790"," 1.2"," 0.9 -  1.5"," 7 731"
"PinVA <6/60"," 3.0"," 2.3 -  3.7","10 416"," 1.8"," 1.2 -  2.4"," 5 667"," 2.4"," 1.9 -  2.9","16 084"
"PinVA <6/18"," 8.4"," 7.2 -  9.7","28 869"," 7.7"," 6.5 -  8.9","24 387"," 8.1"," 7.1 -  9.0","53 256"
"PinVA <6/12","14.2","12.6 - 15.7","48 579","13.4","11.9 - 15.0","42 694","13.8","12.5 - 15.1","91 273"
