"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"Blind",35," 2.5"," 1.6 -  3.3",17," 1.3"," 0.6 -  1.9",52," 1.9"," 1.3 -  2.5"
"Severe",26," 1.8"," 1.0 -  2.7",20," 1.5"," 0.9 -  2.1",46," 1.7"," 1.2 -  2.2"
"Moderate",159,"11.3"," 9.1 - 13.4",142,"10.6"," 8.3 - 12.9",301,"10.9"," 9.2 - 12.7"
"Mild",303,"21.5","16.8 - 26.1",338,"25.2","19.8 - 30.6",641,"23.3","18.6 - 28.0"
