"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"PinVA <3/60"," 1.8"," 1.1 -  2.5","  262"," 0.8"," 0.3 -  1.4","  163"," 1.3"," 0.8 -  1.7","  425"
"PinVA <6/60"," 2.9"," 2.0 -  3.9","  427"," 2.4"," 1.7 -  3.0","  454"," 2.6"," 2.0 -  3.2","  881"
"PinVA <6/18"," 9.2"," 7.1 - 11.3","1 338"," 8.2"," 6.6 -  9.8","1 575"," 8.6"," 7.0 - 10.2","2 913"
"PinVA <6/12","17.4","14.4 - 20.4","2 527","17.1","14.6 - 19.5","3 286","17.2","15.0 - 19.5","5 814"
