"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind"," 4.1"," 3.1 -  5.1","  596"," 2.0"," 1.3 -  2.7","  382"," 2.9"," 2.2 -  3.5","   977"
"Severe or worse"," 6.6"," 5.1 -  8.1","  957"," 4.2"," 3.3 -  5.1","  804"," 5.2"," 4.3 -  6.2"," 1 761"
"Moderate or worse","20.2","17.1 - 23.3","2 933","17.6","15.0 - 20.2","3 381","18.7","16.3 - 21.1"," 6 314"
"Mild or worse","42.6","36.2 - 49.0","6 183","42.9","36.2 - 49.7","8 260","42.8","36.6 - 48.9","14 443"
