"Exam.Status","female.n","female.pct","male.n","male.pct","total.n","total.pct"
"Examined*","1 411",93.2,"1 340",90.2,"2 751",91.7
"Refused","    8",0.5,"    1",0.1,"    9",0.3
"Incapable","   63",4.2,"   74",5,"  137",4.6
"Unavailable","   32",2.1,"   70",4.7,"  102",3.4
"Total","1 514",100,"1 485",100,"2 999",100
