"rec_metric","female.adj.pct","female.adj.pct.ci","male.adj.pct","male.adj.pct.ci","total.adj.pct","total.adj.pct.ci"
"eREC","NaN","NaN - NaN","NaN","NaN - NaN","NaN","NaN - NaN"
"REC","NaN","NaN - NaN","NaN","NaN - NaN","NaN","NaN - NaN"
