"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"Blind",0," 0.0"," 0.0 -  0.0",0," 0.0"," 0.0 -  0.0",0," 0.0"," 0.0 -  0.0"
"Severe",0," 0.0"," 0.0 -  0.0",0," 0.0"," 0.0 -  0.0",0," 0.0"," 0.0 -  0.0"
"Moderate",8," 0.6"," 0.2 -  0.9",7," 0.5"," 0.1 -  0.9",15," 0.5"," 0.2 -  0.9"
"Mild",237,"16.8","12.1 - 21.5",278,"20.7","14.9 - 26.6",515,"18.7","13.8 - 23.6"
