"vi.level","female.n","female.pct","female.ci","male.n","male.pct","male.ci","total.n","total.pct","total.ci"
"PinVA <3/60",16," 1.1"," 0.5 -  1.8",8," 0.6"," 0.1 -  1.1",24," 0.9"," 0.4 -  1.3"
"PinVA <6/60",28," 2.0"," 1.1 -  2.9",20," 1.5"," 0.9 -  2.1",48," 1.7"," 1.2 -  2.3"
"PinVA <6/18",99," 7.0"," 5.0 -  9.0",75," 5.6"," 4.1 -  7.0",174," 6.3"," 4.9 -  7.8"
"PinVA <6/12",204,"14.5","11.6 - 17.3",181,"13.5","11.2 - 15.8",385,"14.0","11.9 - 16.1"
