"num.thresh","female.adjusted","female.adjusted.ci","male.adjusted","male.adjusted.ci","total.adjusted","total.adjusted.ci","quality_gap"
"CSC","44.9","37.7 - 52.1","39.2","32.1 - 46.4","41.8","35.7 - 47.9","    "
"eCSC","18.1","12.8 - 23.5","17.7","12.8 - 22.7","17.9","13.7 - 22.1","57.2"
"CSC","57.5","49.3 - 65.7","55.0","46.4 - 63.5","56.2","49.4 - 62.9","    "
"eCSC","22.2","15.4 - 29.0","24.5","17.5 - 31.5","23.4","18.1 - 28.8","58.3"
"CSC","78.7","71.4 - 85.9","79.4","71.7 - 87.1","79.1","73.5 - 84.6","    "
"eCSC","30.4","22.3 - 38.4","34.8","25.5 - 44.1","32.7","26.1 - 39.3","58.6"
"CSC","85.7","79.6 - 91.7","91.1","83.4 - 98.8","88.4","83.1 - 93.7","    "
"eCSC","32.7","24.1 - 41.2","41.9","31.1 - 52.6","37.3","30.3 - 44.3","57.8"
