"age.groups.tens","female.examined.n","female.examined.pct","male.examined.n","male.examined.pct","total.examined.n","total.examined.pct"
"50-59","  892",63.2,"  884",66,"1 776",64.6
"60-69","  398",28.2,"  334",24.9,"  732",26.6
"70-79","   86",6.1,"   96",7.2,"  182",6.6
"80+","   35",2.5,"   26",1.9,"   61",2.2
"Total","1 411",100,"1 340",100,"2 751",100
