"oc.levels","female.n.eyes","female.pct.eyes","male.n.eyes","male.pct.eyes","total.n.eyes","total.pct.eyes"
"Good (6/12)",167," 61.2",117," 63.2",284," 62.0"
"Borderline (<6/12 to 6/60)",87," 31.9",58," 31.4",145," 31.7"
"Poor (<6/60)",19,"  7.0",10,"  5.4",29,"  6.3"
"Total",273,"100.1",185,"100.0",458,"100.0"
