"vi.level","female.adj.pct","female.adj.ci","extrapolated.female.n","male.adj.pct","male.adj.ci","extrapolated.male.n","total.adj.pct","total.adj.ci","extrapolated.total.n"
"Blind"," 4.1"," 3.1 -  5.1","  596"," 2.0"," 1.3 -  2.7","  382"," 2.9"," 2.2 -  3.5","  977"
"Severe"," 2.5"," 1.6 -  3.3","  362"," 2.2"," 1.5 -  2.8","  422"," 2.3"," 1.8 -  2.8","  784"
"Moderate","13.6","11.3 - 15.9","1 976","13.4","11.0 - 15.8","2 577","13.5","11.6 - 15.4","4 553"
"Mild","22.4","17.7 - 27.1","3 249","25.4","19.9 - 30.8","4 879","24.1","19.4 - 28.7","8 129"
