"age.groups.tens","female.n","female.pct","male.n","male.pct","total.n","total.pct"
"50-59"," 7 461",51.4," 9 889",51.4,"17 350",51.4
"60-69"," 4 563",31.4," 6 047",31.4,"10 610",31.4
"70-79"," 1 777",12.2," 2 354",12.2," 4 131",12.2
"80+","   718",4.9,"   950",4.9," 1 668",4.9
"Total","14 519",100,"19 240",100,"33 759",100
