"oc.levels","female.n.eyes","female.pct.eyes","male.n.eyes","male.pct.eyes","total.n.eyes","total.pct.eyes"
"Good (6/12)",119," 43.6",89," 48.1",208," 45.4"
"Borderline (<6/12 to 6/60)",126," 46.2",81," 43.8",207," 45.2"
"Poor (<6/60)",28," 10.3",15,"  8.1",43,"  9.4"
"Total",273,"100.1",185,"100.0",458,"100.0"
